example_id,source_index,id,base_id,label,split
001e21dc2648faad3d51,1107,08f489d52288486303025951ebbd9759,562949960395400,1,train
00250dbfa654387b5163,49,08f44c1769c8290003f4148ce8f21ab8,562949957446650,0,train
002ab08015f885c137d6,1709,08f26f003419b90c03fb1e82c0864b5f,976bf1f31bbe4af150071f12,0,train
002fd8224a617ae5d841,1057,08fbf4c372da337503ee1df92fa91214,08fbf4c372dad19b0342c3be0816965f,0,train
00315e4080a43b624593,1856,08f64a59990a63a0030784450be43ba4,4fe31684e4b02bc5526741ee,1,test
003c27757a6a45e64b31,2138,08f2f5a328b26293035f65634ecc4383,5f6316af08766f21612af863,1,validation
0040fe343113c91f5a46,1048,08f44a128141e2eb03f75e409ee642e8,844424934666172,1,train
005ddfffa8260692a5c5,1928,08f2e60540ad52740344132b1f92af84,3fb8c69a0b837c278750a762,1,train
006ae81e3f3d4a2d46c3,2387,08fa97346a369ce303f402ec1f8b35ff,55324e22498e3682b712d2da,0,train
006be045dde674870bf9,2442,08f29b6659d2360303925e262100530a,cb4f874a6680e4e6e7097b53,0,train
007072c729f62ceafe4d,2246,08fa81eb2e78d11c03804afe6de4128a,4f1d47b3e4b05c50e47030d4,1,validation
00941c9bdb6f28e0e1b4,1345,08f1fb467500a819030fbdc42b5e1f89,08f1fb467501808d0394fcacfbfd827e,0,train
00977210eea76f6f0aaa,1006,1970324839861841,1970324841421114,0,validation
00a1dc6887250dc4311e,1072,08f2a930f0835c9d039f113beff6647f,1407374889501649,1,train
00d0f5a8ebd3c7a89e16,1904,08f26561a6018621030d6d13a1a39c49,4caf345e1463a1439d8592a9,1,test
010897d21cab4260fae6,233,08f264d111a2c63303d127af5b44c22d,562949956261603,0,train
01252893d309897eace1,381,08f29a1d494b145503dedf02c1157d2b,08f29a1d494b38ea03081cf4f2c6a84f,0,train
014b87d71fd531c3ac5c,682,562949958277710,562949960050883,1,train
0151d7cc8a7cef06ea32,0,08f391ab10c7114d033517ea0e3905a9,562949956772225,1,test
0168e8ade39f900cd68c,1378,08f4990ad6a5032b03391cb720f2b895,08f4990ad6ad140e0300e9c63ed9fad5,0,train
0175e8692d311ae0c039,2602,08f64a486b8f163603e3695b6cdf588d,659df4ede9dcf92e518f3af5,0,train
019a9880b3fcb3d3b5a5,670,08f498c9acc340d303599f4888ae4c9a,08f498c9acd0a5b503d8145fddb73a74,0,validation
019d51239b91ce1dc017,805,08f28346698f5a8c03fab26b7966de44,1407374885329705,1,test
01a7b2434cffcbed76d7,871,08f29a98286b30f2038963ad6bf82876,1125899911262959,1,train
01afed02f18c42b318f3,2678,08f394461d89210603b503091997a2df,545b3dc4498e3c9303f07385,1,train
01b78d51f83abdf58665,1387,08f44d8b305a864a0319493ee1938110,562949963676000,1,train
01c0876b9f0e549cb1fc,2855,08f2a10770d340f3034390d148461d38,64fc852e5ea6197156cf9704,1,test
01d6bf27d8e2343d9efb,616,08f441a002591d8e03fc0fed76f197e7,562949959304418,1,test
01d84c98f62468781c21,748,08fbe63c0681e61d03753e2a5b90a373,1125899912920443,1,train
01f5944aef089f34d912,1902,08f64a4bb30ea60503c6ca53a3b2e9ec,4f46178ee4b03c926b63024b,1,train
01ff93714cf670d07d4d,1060,08f26c866963362c034521402733d667,562949954486129,1,validation
021d028982ecaf233f7c,1442,08f48c6c42381b230312b5c4dbe8465f,1407374890653814,1,train
023507a20d81264908c1,518,08fb32199e41ca6803f70dc4a1a395bb,08fb32199e4a310e0384f2f3a397bab0,0,train
0240e044f7fafa2cc6cf,1266,562949957164754,562949957166814,0,train
025054821f6b68520f67,2406,08f1f23675898d080309094c1ce6eca3,4cfbd41120fe3704fe4456f8,0,train
026ad3158021a6a56174,1635,08f1fb4675011d0a03cd9e3291483046,4fc7aee4e4b06e4ecfeee1eb,0,train
0284d67af20fee366868,1935,08f1fa192cb72d6803b3a7d057a5c3a3,4c7ac07c93ef236a6ca4b30f,0,train
0285e5b69b1f9ae030d3,2411,08fa92e16a2f51400399050ea7109040,4e3345f9aeb72268625af66b,1,test
02ad477731a9ae6b7b74,463,08f392ea0d4ea8da03cde6ad03c0fe74,281474979684181,1,train
02d2de77ae9f083e552f,733,1407374886664678,562949961996444,0,train
02e72a19543e410c94a1,404,08f266d2d3cd305503c6fb5cdecca687,1407374885419081,0,train
02e73cb7d078234ed07d,214,1125899906901988,1407374886825169,1,validation
02ed1eea2abc95774ba5,86,08f283470a413c0c03ef9f9568a801c4,08f283470a495989034a6437d1104621,0,train
02fa2ea0a7c09a072702,2563,08f3f66a4165ab9003832c5fabcdf870,586a84708cfe544d8de72ea0,0,train
030e0bf6d214707fe3d0,1575,08f618c44a0de8b303ba82ea6c944963,6100efa1998bdb64ef835d59,1,train
0312b9b348630397874b,2837,08f42cc612a320290311ed2935713818,5fb6f23ed19bae4708685a0d,0,train
0318099a22bbfa49fb6f,1794,08f264b64410eb4e03687ddf85880268,4c5ffd273a3703bb9414e406,1,train
0353e259c3ce16933d4a,2140,08f659a50139271903e0cfb6806c66fc,507d4a96e4b039097976280a,0,train
0358814ec499fd7f40c8,2003,08f4446420bb12c003a28fe9807b4a7d,4aaaeb39f964a5200e5820e3,1,validation
035b88d0ce664223c9c0,1069,844424932528376,844424932528493,0,validation
038a34d063437749455e,1433,1125899911307408,1970324838899841,1,train
039c08e05f1e1a13c779,2745,08f489c199a9881a0391dce2dd986d7e,506ca139498ead4133cb8586,1,train
039c0ff325cea88b155b,1137,08f2a13c099a5b1003a352eaf8c6ab79,1407374885200187,1,test
03a66817ea453b67da3e,1551,08f2e6151a723c5103d08e98e7ded4a2,631ab4cac4138257c835c6ec,1,train
03a7c9e5088371e082cb,2618,08f45b2a2a59416503b608484bd3b221,4f9fe084e4b09c8ee4948409,0,train
03cc8329456ecd465e0f,856,08f28d559965c49d037360e0cf9c144e,562949960055007,1,test
03d40fc8ce8caff9e23a,2586,08f1f898460ab53603441ef8aea5ad0b,59e1d80624962376ecf1c841,1,validation
040288282d5e709f09d8,826,08f1e836010c296603270e16a1195ccf,562949959060990,1,test
0420db3eee52fb584240,2998,08fa81955b34a9b303580e4545ded3f2,51ed2f0b498e8e7bde84b219,1,train
042c728e73c9c60e76ac,2813,08f2a1000b04b15b0365e2a037729632,4c1e9afbeac020a1f4fd49c2,0,train
0444da9f897354872dd4,2676,08f3f35d597a5c6903c322481fd31e19,48a37e2004f14a76786dab51,1,train
044d4456ef405c8b6962,2667,08f1f166d246c3290303ee41124b93fa,63f75a837897593dff50d336,1,validation
046cfc4b0c173127c31f,2973,08f1e1268b2a98ad03c2db02c8a47678,96213c8ef0ab4b745244aede,0,test
046ff6d08c75191d3ce1,1968,08f2664cc96842f5032198aae41b1408,4d65b7986d86224ba46f8b81,0,train
04715ddbd3bdb0ca5cb5,2450,08f260e2e21336f303eea73ec113cab7,4e1b279ce4cdb1407391d325,1,validation
049c559bc177703cf360,879,08f2759ac860810403b488b2ba85c6e1,1125899911199413,1,test
04c12a36bc8814dff38c,1020,08f39446646c25150321c92ac0977fa6,08f39446646c6b6003e14afd82d3b536,0,train
